event,ID,default,Prepayment,vintage,cred_score,DBT_RATIO,start_date,end_date
2,1201510415699000,0,1,2005,757,0.43,01Dec2005,01Jan2006
2,1201510419849000,0,1,2005,757,0.44,01Dec2005,01Jan2006
0,1201510423369000,0,0,2005,630,0.34,01Jan2006,
2,1201510570239000,0,1,2005,779,0.13,01Dec2005,01Nov2009
2,1201510571049000,0,1,2005,696,0.28,01Dec2005,01Feb2009
0,1201510584539000,0,0,2005,761,0.29,01Dec2005,
2,1201510620789000,0,1,2005,715,0.29,01Dec2005,01Nov2008
0,1201517549139000,0,0,2006,816,0.21,01Aug2006,
2,1201517811049000,0,1,2005,656,0.17,01Dec2005,01May2009
2,1201517818809000,0,1,2006,751,0.41,01May2006,01Oct2007
2,1201517819379000,0,1,2005,784,0.36,01Dec2005,01Jan2006
1,1201517845379000,1,0,2007,689,0.1,01May2007,01Jun2009
1,1201517887969000,1,0,2007,659,0.4,01Feb2007,01Oct2008
2,1201518165799000,0,1,2006,718,0.4,01Jun2006,01Aug2009
2,1201518358599000,0,1,2009,614,0.27,01Jul2009,01Dec2011
2,1201518428639000,0,1,2005,791,0.31,01Dec2005,01Oct2007
2,1201518749199000,0,1,2005,618,0.3,01Dec2005,01Jan2006
2,1201518841409000,0,1,2008,768,0.3,01Mar2008,01Aug2012
2,1201519015419000,0,1,2006,713,0.39,01Sep2006,01Sep2007
2,1201519183129000,0,1,2005,730,0.25,01Dec2005,01Jan2006
1,1201519189089000,1,0,2006,750,0.44,01Jul2006,01Jan2011
2,1201519191739000,0,1,2005,801,0.28,01Dec2005,01Jan2006
2,1201519209379000,0,1,2005,812,0.15,01Dec2005,01Apr2011
1,1201519213569000,1,0,2005,791,0.22,01Dec2005,01Jan2011
1,1201519319399000,1,0,2006,693,0.35,01Aug2006,01Mar2007
1,1201519376869000,1,0,2007,670,0.34,01May2007,01Mar2012
2,1201520253119000,0,1,2005,694,0.3,01Dec2005,01Jan2006
0,1201520809329000,0,0,2006,719,0.3,01Sep2006,
2,1201521002839000,0,1,2006,773,0.36,01Apr2006,01Jun2007
1,1201521013369000,1,0,2007,712,0.52,01Feb2007,01Jun2009
1,1201521017439000,1,0,2005,743,0.45,01Dec2005,01Nov2010
1,1201521033639000,1,0,2005,707,0.38,01Dec2005,01Apr2009
0,1201521034019000,0,0,2005,806,0.29,01Dec2005,
1,1201521061689000,1,0,2006,749,0.45,01Apr2006,01Sep2009
1,1201521078739000,1,0,2006,785,0.44,01Dec2006,01Jul2010
0,1201521090009000,0,0,2007,737,0.39,01Mar2007,
0,1201521258639000,0,0,2008,808,0.43,01Oct2008,
1,1201521346849000,1,0,2005,798,0.28,01Dec2005,01May2008
